City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Omboue,GA,79.74,overcast clouds,-1.5746,9.2618,Hotel Olako
344,Chuy,UY,75.02,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
348,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
354,Kavaratti,IN,83.07,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
355,Kantang,TH,79.56,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
359,Miranda,CO,80.6,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
365,Sinnamary,GF,80.87,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
367,Canutama,BR,83.61,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
368,Aquiraz,BR,89.01,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
370,Camocim,BR,82.04,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
373,Xuddur,SO,81.82,overcast clouds,4.1213,43.8894,Banjanay Hotel
374,Morant Bay,JM,84.2,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
375,Sorong,ID,81.34,overcast clouds,-0.8833,131.25,The Waigo Hotel
378,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
380,Mitsamiouli,KM,82.99,scattered clouds,-11.3847,43.2844,Foyer ADM
382,Le Port,RE,77.0,light rain,-20.9373,55.2919,Villa Maido
384,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
388,Kalmunai,LK,80.2,scattered clouds,7.4167,81.8167,VS Villa
391,Tangara,BR,84.2,broken clouds,-6.1994,-35.8017,Pousada Gonçalves
392,Mogadishu,SO,82.35,broken clouds,2.0371,45.3438,Olympic Hotel
393,Gidam,IN,79.18,scattered clouds,18.9833,81.4,Dhanshree Lodge And DormItory
397,Mormugao,IN,82.4,few clouds,15.4,73.8,Coconut Creek Resort
399,Pakokku,MM,87.55,broken clouds,21.3333,95.1,Royal Palace Motel
401,Moron,AR,79.0,clear sky,-34.6534,-58.6198,Hotel Morón
402,Curumani,CO,85.59,overcast clouds,9.1999,-73.5427,Hotel Mayumir
403,Praia,CV,86.0,clear sky,14.9215,-23.5087,LT Aparthotel
405,Kirakira,SB,79.83,overcast clouds,-10.4544,161.9205,SanBiz Lodge
408,Puri,IN,82.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
