City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Charlestown,AU,2021-03-29 23:25:01,-32.95,151.6667,71.01,79,94,12.08
206,Talnakh,RU,2021-03-29 23:28:25,69.4865,88.3972,-25.92,99,34,2.77
207,Hami,CN,2021-03-29 23:28:25,42.8,93.45,52.03,33,100,14.16
208,Deputatskiy,RU,2021-03-29 23:28:25,69.3,139.9,-0.58,96,83,1.86
209,Skelleftea,SE,2021-03-29 23:28:26,64.7507,20.9528,41.0,81,81,14.97
210,Hasaki,JP,2021-03-29 23:28:26,35.7333,140.8333,63.0,77,75,6.91
211,Houston,US,2021-03-29 23:27:05,29.7633,-95.3633,70.0,34,75,17.27
212,Maralal,KE,2021-03-29 23:28:26,1.0968,36.698,63.16,68,44,9.6
213,Fortuna,US,2021-03-29 23:28:26,40.5982,-124.1573,55.0,50,1,21.85
214,Westport,US,2021-03-29 23:24:06,41.1415,-73.3579,50.0,37,2,11.74
215,Hobyo,SO,2021-03-29 23:28:27,5.3505,48.5268,79.7,75,40,9.78
216,Ambon,ID,2021-03-29 23:28:27,-3.6954,128.1814,78.8,89,20,4.61
217,Graaff-Reinet,ZA,2021-03-29 23:28:27,-32.2522,24.5308,66.45,38,0,2.24
218,Amzya,RU,2021-03-29 23:28:28,56.2354,54.3868,28.29,97,91,3.44
219,Mitu,CO,2021-03-29 23:28:28,1.1983,-70.1733,74.23,95,76,1.57
220,Saint-Joseph,RE,2021-03-29 23:28:28,-21.3667,55.6167,77.0,73,0,5.75
221,Touros,BR,2021-03-29 23:28:29,-5.1989,-35.4608,78.8,89,40,5.75
222,Tiksi,RU,2021-03-29 23:28:29,71.6872,128.8694,5.68,95,100,4.43
223,Amberley,US,2021-03-29 23:28:29,39.2048,-84.428,57.99,30,1,9.22
224,Richards Bay,ZA,2021-03-29 23:28:29,-28.783,32.0377,65.95,83,70,4.65
225,Srednekolymsk,RU,2021-03-29 23:28:30,67.45,153.6833,7.29,81,67,3.27
226,Pitkyaranta,RU,2021-03-29 23:28:30,61.5734,31.4792,36.18,93,100,22.06
227,Boali,CF,2021-03-29 23:28:30,4.8005,18.1275,82.4,65,4,1.54
228,Hoquiam,US,2021-03-29 23:28:31,46.9809,-123.8893,51.01,53,1,24.16
229,Magadan,RU,2021-03-29 23:28:31,59.5667,150.8,20.19,72,100,8.88
230,Kirkland Lake,CA,2021-03-29 23:28:31,48.1446,-80.0377,30.2,64,86,5.53
231,Rosetta,EG,2021-03-29 23:28:31,31.4044,30.4164,59.0,67,40,9.22
232,Bundaberg,AU,2021-03-29 23:28:32,-24.85,152.35,78.8,65,5,11.5
233,Atar,MR,2021-03-29 23:28:32,20.5169,-13.0499,79.79,23,5,7.29
234,Tibati,CM,2021-03-29 23:28:32,6.4667,12.6333,72.18,36,41,2.01
235,Goderich,CA,2021-03-29 23:28:33,43.7501,-81.7165,42.8,49,10,11.5
236,Aksarka,RU,2021-03-29 23:28:33,66.5606,67.7975,13.39,94,100,10.38
237,Dauin,PH,2021-03-29 23:28:33,9.1914,123.2654,80.1,81,72,10.02
238,Wahiawa,US,2021-03-29 23:28:34,21.5028,-158.0236,80.01,61,90,16.11
239,Vakhrushev,RU,2021-03-29 23:28:34,48.9833,142.9667,32.49,98,100,0.67
240,Muriwai Beach,NZ,2021-03-29 23:28:34,-36.8167,174.45,70.0,96,79,1.99
241,Umm Lajj,SA,2021-03-29 23:28:34,25.0213,37.2685,71.24,60,38,9.93
242,Uelzen,DE,2021-03-29 23:28:35,52.9667,10.5667,48.2,76,40,2.3
243,Sabang,ID,2021-03-29 23:28:35,5.8933,95.3214,80.91,77,100,13.76
244,Cidreira,BR,2021-03-29 23:28:35,-30.1811,-50.2056,70.07,67,3,8.72
245,Hirara,JP,2021-03-29 23:28:36,24.8,125.2833,75.2,100,40,12.66
246,Bengkulu,ID,2021-03-29 23:28:36,-3.8004,102.2655,75.16,89,76,3.15
247,Oyama,JP,2021-03-29 23:28:36,36.3,139.8,64.0,72,75,5.75
248,Sarh,TD,2021-03-29 23:28:36,9.1429,18.3923,80.6,29,0,5.01
249,Sainte-Maxime,FR,2021-03-29 23:28:37,43.3,6.6333,53.01,81,2,2.82
250,Neustadt,DE,2021-03-29 23:28:37,49.7117,12.0872,39.99,87,1,1.1
251,Pingxiang,CN,2021-03-29 23:28:37,27.6167,113.85,70.25,95,92,2.51
252,Laguna,US,2021-03-29 23:28:38,38.421,-121.4238,73.99,20,1,16.11
253,Fare,PF,2021-03-29 23:28:38,-16.7,-151.0167,82.04,72,22,14.43
254,Thinadhoo,MV,2021-03-29 23:28:38,0.5333,72.9333,83.52,72,100,25.41
255,Halifax,CA,2021-03-29 23:26:49,44.6453,-63.5724,39.2,65,75,14.97
256,Huarmey,PE,2021-03-29 23:28:39,-10.0681,-78.1522,72.25,79,71,9.08
257,Olden,NO,2021-03-29 23:28:39,61.8364,6.8064,40.21,96,100,8.59
258,Luderitz,NA,2021-03-29 23:28:39,-26.6481,15.1594,61.47,83,0,7.43
259,Grindavik,IS,2021-03-29 23:28:39,63.8424,-22.4338,30.2,69,0,20.71
260,Severnyy,RU,2021-03-29 23:28:40,50.677,36.5532,30.2,86,0,6.71
261,Guerrero Negro,MX,2021-03-29 23:25:26,27.9769,-114.0611,73.42,38,99,14.52
262,Kasongo-Lunda,CD,2021-03-29 23:28:40,-6.4667,16.8167,68.76,96,89,1.12
263,Muravlenko,RU,2021-03-29 23:28:40,63.7898,74.523,2.3,91,100,8.48
264,Valparaiso,CL,2021-03-29 23:26:58,-33.0393,-71.6273,57.2,88,20,2.3
265,Yulara,AU,2021-03-29 23:28:41,-25.2406,130.9889,69.8,43,0,14.97
266,Naze,JP,2021-03-29 23:28:41,28.3667,129.4833,71.6,88,75,4.61
267,Vardo,NO,2021-03-29 23:28:41,70.3705,31.1107,35.6,80,75,9.22
268,Byron Bay,AU,2021-03-29 23:28:42,-28.65,153.6167,69.8,94,75,12.66
269,Kankon,IN,2021-03-29 23:28:42,15.0167,74.0167,84.2,79,40,3.44
270,Kruisfontein,ZA,2021-03-29 23:28:42,-34.0033,24.7314,64.99,83,21,5.99
271,Provideniya,RU,2021-03-29 23:28:43,64.3833,-173.3,19.4,79,90,11.18
272,Chandbali,IN,2021-03-29 23:28:43,20.7833,86.7667,76.03,91,55,11.95
273,Chervone,UA,2021-03-29 23:28:43,49.9564,28.8645,37.2,83,14,2.93
274,Tuy Hoa,VN,2021-03-29 23:28:43,13.0833,109.3,70.65,87,19,4.72
275,Chicla,PE,2021-03-29 23:28:44,-11.705,-76.2686,45.46,88,100,3.04
276,Severiano Melo,BR,2021-03-29 23:28:44,-5.7772,-37.9578,75.72,88,100,8.32
277,Seymchan,RU,2021-03-29 23:28:45,62.8833,152.4333,-2.78,92,99,2.26
278,Arman,RU,2021-03-29 23:28:45,59.7,150.1667,20.89,72,100,5.91
279,Kyzyl-Suu,KG,2021-03-29 23:28:45,42.3414,78.0056,28.6,69,95,7.99
280,Guangshui,CN,2021-03-29 23:28:45,31.6199,113.9978,56.12,85,100,9.26
281,Lasa,IT,2021-03-29 23:28:46,46.6166,10.7002,48.99,65,0,5.75
282,Myitkyina,MM,2021-03-29 23:28:46,25.3833,97.4,61.25,35,2,2.44
283,Codrington,AU,2021-03-29 23:28:46,-38.2667,141.9667,60.13,72,81,4.47
284,Ushtobe,KZ,2021-03-29 23:28:47,45.2514,77.9838,36.34,87,86,5.55
285,Ewa Beach,US,2021-03-29 23:26:58,21.3156,-158.0072,80.6,61,90,9.22
286,Port-Gentil,GA,2021-03-29 23:28:47,-0.7193,8.7815,78.8,94,40,3.44
287,Requena,ES,2021-03-29 23:28:47,39.4883,-1.1004,54.0,84,31,7.74
288,Lorengau,PG,2021-03-29 23:28:47,-2.0226,147.2712,82.62,78,100,5.17
289,Meadow Lake,US,2021-03-29 23:28:48,34.8014,-106.5436,75.99,11,75,13.8
290,Mugur-Aksy,RU,2021-03-29 23:28:48,50.35,90.5,13.05,75,8,5.59
291,Hlotse,LS,2021-03-29 23:28:48,-28.8718,28.045,53.22,81,49,3.31
292,Fuerte Olimpo,PY,2021-03-29 23:24:13,-21.0415,-57.8738,83.08,50,66,4.09
293,Pauini,BR,2021-03-29 23:28:49,-7.7136,-66.9764,75.02,95,89,1.68
294,Pout,SN,2021-03-29 23:26:02,14.7739,-17.0603,64.4,88,5,16.11
