City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Mahebourg,MU,-20.4081,57.7,80.6,83,40,8.05,light rain
188,Katsuura,JP,35.1333,140.3,62.01,80,74,1.01,broken clouds
189,Bud,US,39.447,-86.1758,54.0,30,1,13.8,clear sky
190,Port Hardy,CA,50.6996,-127.4199,41.0,100,90,5.23,light rain
191,Carballo,ES,43.213,-8.691,62.6,55,0,9.22,clear sky
192,Ancud,CL,-41.8697,-73.8203,66.99,58,0,4.61,clear sky
193,Ewa Beach,US,21.3156,-158.0072,71.6,73,1,5.75,clear sky
194,Watsa,CD,3.0372,29.5355,66.2,93,100,3.49,overcast clouds
195,Linhai,CN,28.85,121.1167,62.01,73,100,5.68,overcast clouds
196,Solnechnyy,RU,50.7214,136.6319,24.28,54,31,16.58,light snow
197,Grindavik,IS,63.8424,-22.4338,41.0,100,90,31.07,overcast clouds
198,Geraldton,AU,-28.7667,114.6,75.2,69,86,11.5,overcast clouds
199,Kihei,US,20.785,-156.4656,68.0,94,40,5.75,scattered clouds
200,Havelock,US,34.8791,-76.9013,52.0,28,1,12.66,clear sky
201,Yagodnoye,RU,62.55,149.6667,-10.91,99,98,2.44,overcast clouds
202,Kahramanmaras,TR,38.0,37.0,57.2,54,20,16.11,few clouds
203,Golspie,GB,57.9727,-3.978,53.01,67,13,8.01,few clouds
204,Tucurui,BR,-3.7661,-49.6725,88.32,60,62,2.59,broken clouds
205,Sheksna,RU,59.21,38.5107,33.8,93,75,4.47,light snow
206,Saint Anthony,US,45.0205,-93.218,62.01,31,1,9.22,clear sky
207,Bandar-E Anzali,IR,37.4727,49.4622,55.4,67,75,1.34,broken clouds
208,Shaturtorf,RU,55.5672,39.4169,30.31,96,98,2.59,overcast clouds
209,Somanda,TZ,-3.3667,33.95,71.49,77,64,4.7,moderate rain
210,Lekoni,GA,-1.5843,14.2591,78.01,70,100,8.66,overcast clouds
211,Atar,MR,20.5169,-13.0499,102.02,9,69,15.55,broken clouds
212,Buraydah,SA,26.326,43.975,71.6,28,75,11.5,broken clouds
213,Fortuna,US,40.5982,-124.1573,51.01,93,90,3.44,overcast clouds
214,Weiser,US,44.251,-116.9693,62.01,46,1,2.33,clear sky
215,Dingle,PH,10.9995,122.6711,75.18,87,98,6.8,overcast clouds
216,Rosarito,MX,32.3333,-117.0333,69.01,100,90,10.18,mist
217,Catalina,US,32.5056,-110.9211,80.01,16,0,1.01,clear sky
218,Kuytun,RU,54.3419,101.5036,27.3,96,100,3.65,overcast clouds
219,Paamiut,GL,61.994,-49.6678,30.69,87,100,3.98,overcast clouds
220,College,US,64.8569,-147.8028,17.01,79,90,3.44,light snow
221,Tanout,NE,14.9709,8.8879,86.7,5,0,9.8,clear sky
222,Guerrero Negro,MX,27.9769,-114.0611,66.43,64,6,11.03,clear sky
223,Simao,CN,22.7886,100.9748,69.57,39,100,6.6,overcast clouds
224,Saurimo,AO,-9.6608,20.3916,70.65,85,100,2.46,overcast clouds
225,Abu Kamal,SY,34.4506,40.9171,65.37,30,1,7.83,clear sky
226,High Rock,BS,26.6208,-78.2833,69.8,52,75,14.97,broken clouds
227,Pitimbu,BR,-7.4706,-34.8086,78.8,100,75,6.91,broken clouds
228,Baiao,BR,-2.7906,-49.6717,84.04,73,78,0.83,broken clouds
229,Letka,RU,59.6011,49.4232,31.46,93,100,3.67,overcast clouds
230,Mumford,GH,5.2618,-0.759,82.44,78,76,13.18,broken clouds
231,Salina,US,38.8403,-97.6114,66.99,39,1,13.8,clear sky
